block,extrinsicIndex,signer,derivativeIndex,derivedAccount,success
1515047,3,5G3rej8vFLEMVcJPeMBnaxRBATtPEj3cXkSPDT2iEgbkMgbs,1,5EkgBizB262UnMA8VCUPkRe7ZP3aoC4QFGugrzS2Eq41HFbQ,false
3428443,1,5CZumaWMpggYUJvEjGB6rH2KMNhZhRG2RFVPopMabWjHJWRi,1,5FwJURRmajCUpYFWsasmUxumPDK9rzh13AEwLhB8h31Qfbrs,false
3428450,1,5GEkeVgLtxezLCYDKQ11LcUwotRQwxyDKJsWBx52CsZbLDQB,1,5H4QZndCWoFdSz2F8GzC6fDVFJKmD6of4aVtHwxtbigAJTun,false
3429282,1,5CZumaWMpggYUJvEjGB6rH2KMNhZhRG2RFVPopMabWjHJWRi,0,5D5FjEwfomgf1DF1EenSmhEsVbZGD9ha9XbkidtZWtiKVSB7,false
3429292,1,5CZumaWMpggYUJvEjGB6rH2KMNhZhRG2RFVPopMabWjHJWRi,0,5D5FjEwfomgf1DF1EenSmhEsVbZGD9ha9XbkidtZWtiKVSB7,false
3429296,2,5CZumaWMpggYUJvEjGB6rH2KMNhZhRG2RFVPopMabWjHJWRi,0,5D5FjEwfomgf1DF1EenSmhEsVbZGD9ha9XbkidtZWtiKVSB7,false
3436843,1,5E47Uyhix26U7MYVPQezkquuVpm6C4Wj4tnHRfBUVeDLPE7o,0,5CgArx914YhJXvXyQcPWDbDysYvjzq5Eaf81CmZvjZ25Ghbp,false
3437597,1,5E47Uyhix26U7MYVPQezkquuVpm6C4Wj4tnHRfBUVeDLPE7o,0,5CgArx914YhJXvXyQcPWDbDysYvjzq5Eaf81CmZvjZ25Ghbp,false
3437606,1,5DJcwywd6DgGJbgfEPHfc7dbHbhouo5xDohJptMmUuypZ6DM,0,5D1epVvxZHDxq93fYuS6RQu6Tv9Se3FAEa1rriCWUU3ez8ab,false
3437609,1,5E47Uyhix26U7MYVPQezkquuVpm6C4Wj4tnHRfBUVeDLPE7o,0,5CgArx914YhJXvXyQcPWDbDysYvjzq5Eaf81CmZvjZ25Ghbp,false
